ENSEMBL_gene,HGNC_symbol,a,b,HGNC_symbol_unique
ENSG00000290825,DDX11L2,1,1657,DDX11L2-290825
ENSG00000223972,DDX11L1,6,632,DDX11L1-223972
ENSG00000227232,WASH7P,5,1351,WASH7P-227232
ENSG00000278267,MIR6859-1,1,68,MIR6859-1-278267
ENSG00000243485,MIR1302-2HG,5,1021,MIR1302-2HG-243485
ENSG00000284332,MIR1302-2,1,138,MIR1302-2-284332
ENSG00000237613,FAM138A,2,1219,FAM138A-237613
ENSG00000268020,OR4G4P,3,840,OR4G4P-268020
ENSG00000290826,ENSG00000290826.1,1,1414,ENSG00000290826.1-290826
ENSG00000240361,OR4G11P,3,939,OR4G11P-240361
ENSG00000186092,OR4F5,7,2618,OR4F5-186092
ENSG00000238009,ENSG00000238009.6,6,3726,ENSG00000238009.6-238009
ENSG00000239945,ENSG00000239945.1,1,1319,ENSG00000239945.1-239945
ENSG00000233750,CICP27,3,3812,CICP27-233750
ENSG00000268903,ENSG00000268903.1,1,755,ENSG00000268903.1-268903
ENSG00000269981,ENSG00000269981.1,1,284,ENSG00000269981.1-269981
ENSG00000239906,ENSG00000239906.1,1,323,ENSG00000239906.1-239906
ENSG00000241860,ENSG00000241860.7,7,7559,ENSG00000241860.7-241860
ENSG00000222623,RNU6-1100P,1,104,RNU6-1100P-222623
ENSG00000241599,ENSG00000241599.1,1,457,ENSG00000241599.1-241599
ENSG00000279928,DDX11L17,2,570,DDX11L17-279928
ENSG00000279457,WASH9P,4,1397,WASH9P-279457
ENSG00000273874,MIR6859-2,1,68,MIR6859-2-273874
ENSG00000228463,ENSG00000228463.10,10,8224,ENSG00000228463.10-228463
ENSG00000286448,ENSG00000286448.1,1,736,ENSG00000286448.1-286448
ENSG00000236679,RPL23AP24,2,385,RPL23AP24-236679
ENSG00000236601,ENSG00000236601.2,2,1095,ENSG00000236601.2-236601
ENSG00000290385,ENSG00000290385.1,1,6204,ENSG00000290385.1-290385
ENSG00000269732,WBP1LP7,1,363,WBP1LP7-269732
ENSG00000284733,OR4F29,2,939,OR4F29-284733
ENSG00000237094,ENSG00000237094.13,13,183,ENSG00000237094.13-237094
ENSG00000233653,CICP7,3,2477,CICP7-233653
ENSG00000250575,ENSG00000250575.1,1,1239,ENSG00000250575.1-250575
ENSG00000278757,U6,1,104,U6-278757
ENSG00000230021,ENSG00000230021.10,10,5495,ENSG00000230021.10-230021
ENSG00000235146,ENSG00000235146.2,2,635,ENSG00000235146.2-235146
ENSG00000225972,MTND1P23,1,372,MTND1P23-225972
ENSG00000225630,MTND2P28,1,1044,MTND2P28-225630
ENSG00000237973,MTCO1P12,1,1543,MTCO1P12-237973
ENSG00000278791,ENSG00000278791.1,1,89,ENSG00000278791.1-278791
ENSG00000229344,MTCO2P12,1,682,MTCO2P12-229344
ENSG00000240409,MTATP8P1,1,207,MTATP8P1-240409
ENSG00000248527,MTATP6P1,1,681,MTATP6P1-248527
ENSG00000198744,MTCO3P12,5,547,MTCO3P12-198744
ENSG00000268663,WBP1LP6,1,424,WBP1LP6-268663
ENSG00000284662,OR4F16,2,939,OR4F16-284662
ENSG00000229376,CICP3,3,2455,CICP3-229376
ENSG00000291215,ENSG00000291215.1,1,7026,ENSG00000291215.1-291215
ENSG00000223181,RNU6-1199P,1,104,RNU6-1199P-223181
ENSG00000229905,ENSG00000229905.1,1,456,ENSG00000229905.1-229905
ENSG00000228327,ENSG00000228327.6,6,417,ENSG00000228327.6-228327
ENSG00000237491,LINC01409,10,8413,LINC01409-237491
ENSG00000285268,ENSG00000285268.1,1,114,ENSG00000285268.1-285268
ENSG00000290784,ENSG00000290784.1,1,872,ENSG00000290784.1-290784
ENSG00000230092,ENSG00000230092.8,8,238,ENSG00000230092.8-230092
ENSG00000177757,FAM87B,2,1947,FAM87B-177757
ENSG00000225880,LINC00115,6,3312,LINC00115-225880
ENSG00000228794,LINC01128,12,17958,LINC01128-228794
ENSG00000288531,ENSG00000288531.1,1,3292,ENSG00000288531.1-288531
ENSG00000230368,FAM41C,2,1971,FAM41C-230368
ENSG00000234711,TUBB8P11,1,1058,TUBB8P11-234711
ENSG00000283040,ENSG00000283040.1,1,837,ENSG00000283040.1-283040
ENSG00000272438,ENSG00000272438.1,1,351,ENSG00000272438.1-272438
ENSG00000230699,ENSG00000230699.2,2,3043,ENSG00000230699.2-230699
ENSG00000241180,ENSG00000241180.1,1,443,ENSG00000241180.1-241180
ENSG00000223764,LINC02593,2,4152,LINC02593-223764
ENSG00000187634,SAMD11,13,4172,SAMD11-187634
ENSG00000188976,NOC2L,11,5540,NOC2L-188976
ENSG00000187961,KLHL17,15,3402,KLHL17-187961
ENSG00000187583,PLEKHN1,11,3451,PLEKHN1-187583
ENSG00000187642,PERM1,10,3561,PERM1-187642
ENSG00000272512,ENSG00000272512.1,1,2086,ENSG00000272512.1-272512
ENSG00000188290,HES4,11,1118,HES4-188290
ENSG00000187608,ISG15,10,867,ISG15-187608
ENSG00000231702,ENSG00000231702.2,2,154,ENSG00000231702.2-231702
ENSG00000224969,ENSG00000224969.1,1,471,ENSG00000224969.1-224969
ENSG00000188157,AGRN,15,10761,AGRN-188157
ENSG00000242590,ENSG00000242590.1,1,402,ENSG00000242590.1-242590
ENSG00000291156,ENSG00000291156.1,1,1849,ENSG00000291156.1-291156
ENSG00000273443,ENSG00000273443.1,1,829,ENSG00000273443.1-273443
ENSG00000217801,ENSG00000217801.13,13,1219,ENSG00000217801.13-217801
ENSG00000237330,RNF223,3,1900,RNF223-237330
ENSG00000131591,C1orf159,18,6322,C1orf159-131591
ENSG00000285812,ENSG00000285812.1,1,1095,ENSG00000285812.1-285812
ENSG00000223823,LINC01342,1,1620,LINC01342-223823
ENSG00000207730,MIR200B,3,95,MIR200B-207730
ENSG00000207607,MIR200A,3,90,MIR200A-207607
ENSG00000198976,MIR429,1,83,MIR429-198976
ENSG00000272141,ENSG00000272141.1,1,987,ENSG00000272141.1-272141
ENSG00000205231,TTLL10-AS1,1,3532,TTLL10-AS1-205231
ENSG00000162571,TTLL10,14,3998,TTLL10-162571
ENSG00000186891,TNFRSF18,14,1271,TNFRSF18-186891
ENSG00000186827,TNFRSF4,12,1975,TNFRSF4-186827
ENSG00000078808,SDF4,20,4686,SDF4-78808
ENSG00000176022,B3GALT6,7,2805,B3GALT6-176022
ENSG00000184163,C1QTNF12,3,1794,C1QTNF12-184163
ENSG00000260179,ENSG00000260179.1,1,1558,ENSG00000260179.1-260179
ENSG00000160087,UBE2J2,21,4691,UBE2J2-160087
ENSG00000230415,LINC01786,1,513,LINC01786-230415
ENSG00000162572,SCNN1D,21,4025,SCNN1D-162572
ENSG00000131584,ACAP3,19,8707,ACAP3-131584
ENSG00000278073,MIR6726,1,61,MIR6726-278073
ENSG00000169972,PUSL1,13,2640,PUSL1-169972
ENSG00000127054,INTS11,22,8216,INTS11-127054
ENSG00000283712,MIR6727,1,65,MIR6727-283712
ENSG00000240731,ENSG00000240731.1,1,386,ENSG00000240731.1-240731
ENSG00000224051,CPTP,7,2555,CPTP-224051
ENSG00000169962,TAS1R3,5,3475,TAS1R3-169962
ENSG00000107404,DVL1,21,3882,DVL1-107404
ENSG00000284372,MIR6808,1,59,MIR6808-284372
ENSG00000162576,MXRA8,17,3622,MXRA8-162576
ENSG00000175756,AURKAIP1,14,1381,AURKAIP1-175756
ENSG00000223663,NDUFB4P8,2,367,NDUFB4P8-223663
ENSG00000221978,CCNL2,13,6842,CCNL2-221978
ENSG00000224870,MRPL20-AS1,9,2532,MRPL20-AS1-224870
ENSG00000242485,MRPL20,6,2767,MRPL20-242485
ENSG00000264293,RN7SL657P,2,293,RN7SL657P-264293
ENSG00000272455,MRPL20-DT,1,1523,MRPL20-DT-272455
ENSG00000235098,ANKRD65,9,2644,ANKRD65-235098
ENSG00000225905,ANKRD65-AS1,1,543,ANKRD65-AS1-225905
ENSG00000205116,TMEM88B,4,3217,TMEM88B-205116
ENSG00000225285,LINC01770,1,851,LINC01770-225285
ENSG00000179403,VWA1,12,5065,VWA1-179403
ENSG00000215915,ATAD3C,10,3981,ATAD3C-215915
ENSG00000160072,ATAD3B,20,7686,ATAD3B-160072
ENSG00000290916,ENSG00000290916.1,1,740,ENSG00000290916.1-290916
ENSG00000284740,ENSG00000284740.3,3,227,ENSG00000284740.3-284740
ENSG00000197785,ATAD3A,14,3344,ATAD3A-197785
ENSG00000205090,TMEM240,10,2009,TMEM240-205090
ENSG00000160075,SSU72,12,6919,SSU72-160075
ENSG00000215014,SSU72-AS1,5,2349,SSU72-AS1-215014
ENSG00000274481,ENSG00000274481.1,1,400,ENSG00000274481.1-274481
ENSG00000228594,FNDC10,4,2124,FNDC10-228594
ENSG00000286989,ENSG00000286989.1,1,1830,ENSG00000286989.1-286989
ENSG00000272106,ENSG00000272106.1,1,2038,ENSG00000272106.1-272106
ENSG00000197530,MIB2,13,8723,MIB2-197530
ENSG00000189409,MMP23B,14,2205,MMP23B-189409
ENSG00000248333,CDK11B,9,3490,CDK11B-248333
ENSG00000272004,ENSG00000272004.1,1,400,ENSG00000272004.1-272004
ENSG00000189339,SLC35E2B,12,8462,SLC35E2B-189339
ENSG00000269737,ENSG00000269737.2,2,1819,ENSG00000269737.2-269737
ENSG00000215914,MMP23A,4,1017,MMP23A-215914
ENSG00000008128,CDK11A,23,5085,CDK11A-8128
ENSG00000268575,ENSG00000268575.1,1,5079,ENSG00000268575.1-268575
ENSG00000227775,ENSG00000227775.3,3,2759,ENSG00000227775.3-227775
ENSG00000290854,ENSG00000290854.1,1,3264,ENSG00000290854.1-290854
ENSG00000215790,SLC35E2A,9,732,SLC35E2A-215790
ENSG00000008130,NADK,15,5570,NADK-8130
ENSG00000078369,GNB1,19,9030,GNB1-78369
ENSG00000231050,GNB1-DT,3,1417,GNB1-DT-231050
ENSG00000169885,CALML6,10,2040,CALML6-169885
ENSG00000178821,TMEM52,13,1600,TMEM52-178821
ENSG00000142609,CFAP74,20,10422,CFAP74-142609
ENSG00000233542,ENSG00000233542.2,2,2063,ENSG00000233542.2-233542
ENSG00000187730,GABRD,9,5525,GABRD-187730
ENSG00000226969,PRKCZ-DT,1,538,PRKCZ-DT-226969
ENSG00000067606,PRKCZ,17,7695,PRKCZ-67606
ENSG00000271806,ENSG00000271806.1,1,4196,ENSG00000271806.1-271806
ENSG00000182873,PRKCZ-AS1,5,1734,PRKCZ-AS1-182873
ENSG00000162585,FAAP20,17,10916,FAAP20-162585
ENSG00000234396,ENSG00000234396.3,3,326,ENSG00000234396.3-234396
ENSG00000157933,SKI,11,6687,SKI-157933
ENSG00000287356,ENSG00000287356.1,1,5794,ENSG00000287356.1-287356
ENSG00000116151,MORN1,14,11337,MORN1-116151
ENSG00000272161,ENSG00000272161.1,1,493,ENSG00000272161.1-272161
ENSG00000269896,ENSG00000269896.2,2,2407,ENSG00000269896.2-269896
ENSG00000272420,ENSG00000272420.1,1,568,ENSG00000272420.1-272420
ENSG00000157916,RER1,20,5689,RER1-157916
ENSG00000157911,PEX10,11,3782,PEX10-157911
ENSG00000149527,PLCH2,18,10809,PLCH2-149527
ENSG00000224387,ENSG00000224387.1,1,455,ENSG00000224387.1-224387
ENSG00000229393,ENSG00000229393.1,1,514,ENSG00000229393.1-229393
ENSG00000157881,PANK4,16,5072,PANK4-157881
ENSG00000197921,HES5,6,1324,HES5-197921
ENSG00000272449,ENSG00000272449.3,3,1542,ENSG00000272449.3-272449
ENSG00000238164,TNFRSF14-AS1,6,6137,TNFRSF14-AS1-238164
ENSG00000157873,TNFRSF14,18,6214,TNFRSF14-157873
ENSG00000225931,ENSG00000225931.3,3,1297,ENSG00000225931.3-225931
ENSG00000228037,ENSG00000228037.1,1,626,ENSG00000228037.1-228037
ENSG00000289610,ENSG00000289610.2,2,451,ENSG00000289610.2-289610
ENSG00000157870,PRXL2B,17,3371,PRXL2B-157870
ENSG00000142606,MMEL1,16,3870,MMEL1-142606
ENSG00000237058,MMEL1-AS1,1,373,MMEL1-AS1-237058
ENSG00000215912,TTC34,13,7780,TTC34-215912
ENSG00000285945,ENSG00000285945.1,1,593,ENSG00000285945.1-285945
ENSG00000283259,ENSG00000283259.1,1,1565,ENSG00000283259.1-283259
ENSG00000233234,ENSG00000233234.1,1,607,ENSG00000233234.1-233234
ENSG00000287396,ENSG00000287396.1,1,663,ENSG00000287396.1-287396
ENSG00000231630,ENSG00000231630.1,1,429,ENSG00000231630.1-231630
ENSG00000284745,ENSG00000284745.1,1,1654,ENSG00000284745.1-284745
ENSG00000169717,ACTRT2,7,1437,ACTRT2-169717
ENSG00000177133,PRDM16-DT,14,6044,PRDM16-DT-177133
ENSG00000142611,PRDM16,17,9767,PRDM16-142611
ENSG00000283572,MIR4251,1,61,MIR4251-283572
ENSG00000226286,ENSG00000226286.1,1,469,ENSG00000226286.1-226286
ENSG00000279839,ENSG00000279839.1,1,2677,ENSG00000279839.1-279839
ENSG00000272235,ENSG00000272235.1,1,3461,ENSG00000272235.1-272235
ENSG00000287828,ENSG00000287828.1,1,728,ENSG00000287828.1-287828
ENSG00000286518,ENSG00000286518.1,1,2784,ENSG00000286518.1-286518
ENSG00000130762,ARHGEF16,15,5324,ARHGEF16-130762
ENSG00000272088,ENSG00000272088.1,1,382,ENSG00000272088.1-272088
ENSG00000162591,MEGF6,17,9021,MEGF6-162591
ENSG00000207776,MIR551A,1,96,MIR551A-207776
ENSG00000238260,ENSG00000238260.3,3,1930,ENSG00000238260.3-238260
ENSG00000158109,TPRG1L,15,2401,TPRG1L-158109
ENSG00000116213,WRAP73,16,7634,WRAP73-116213
ENSG00000078900,TP73,15,6767,TP73-78900
ENSG00000227589,TP73-AS3,1,754,TP73-AS3-227589
ENSG00000235131,TP73-AS2,1,351,TP73-AS2-235131
ENSG00000227372,TP73-AS1,12,9701,TP73-AS1-227372
ENSG00000276189,ENSG00000276189.1,1,161,ENSG00000276189.1-276189
ENSG00000162592,CCDC27,10,4238,CCDC27-162592
ENSG00000235169,SMIM1,11,993,SMIM1-235169
ENSG00000130764,LRRC47,10,4509,LRRC47-130764
ENSG00000266075,RN7SL574P,2,297,RN7SL574P-266075
ENSG00000272153,ENSG00000272153.1,1,531,ENSG00000272153.1-272153
ENSG00000116198,CEP104,14,11885,CEP104-116198
ENSG00000169598,DFFB,17,3870,DFFB-169598
ENSG00000198912,C1orf174,12,4883,C1orf174-198912
ENSG00000236423,LINC01134,8,4676,LINC01134-236423
ENSG00000233304,LINC01346,7,5054,LINC01346-233304
ENSG00000226374,LINC01345,3,2168,LINC01345-226374
ENSG00000284668,LINC02780,2,1835,LINC02780-284668
ENSG00000284703,ENSG00000284703.1,1,4817,ENSG00000284703.1-284703
ENSG00000229280,EEF1DP6,1,372,EEF1DP6-229280
ENSG00000235054,LINC01777,4,2574,LINC01777-235054
ENSG00000284694,ENSG00000284694.1,1,3402,ENSG00000284694.1-284694
ENSG00000227169,ENSG00000227169.2,2,356,ENSG00000227169.2-227169
ENSG00000232596,LINC01646,3,3328,LINC01646-232596
ENSG00000196581,AJAP1,11,12528,AJAP1-196581
ENSG00000287586,ENSG00000287586.1,1,3225,ENSG00000287586.1-287586
ENSG00000284739,ENSG00000284739.1,1,464,ENSG00000284739.1-284739
ENSG00000284674,LINC02781,1,1580,LINC02781-284674
ENSG00000231510,LINC02782,1,449,LINC02782-231510
ENSG00000284616,ENSG00000284616.1,1,1225,ENSG00000284616.1-284616
ENSG00000284692,ENSG00000284692.2,2,2316,ENSG00000284692.2-284692
ENSG00000284666,ENSG00000284666.1,1,609,ENSG00000284666.1-284666
ENSG00000260972,ENSG00000260972.1,1,1697,ENSG00000260972.1-260972
ENSG00000283356,ENSG00000283356.1,1,135,ENSG00000283356.1-283356
ENSG00000236948,ENSG00000236948.2,2,1095,ENSG00000236948.2-236948
ENSG00000264341,ENSG00000264341.1,1,73,ENSG00000264341.1-264341
ENSG00000289893,ENSG00000289893.1,1,1484,ENSG00000289893.1-289893
ENSG00000264101,MIR4689,1,70,MIR4689-264101
ENSG00000131697,NPHP4,18,13167,NPHP4-131697
ENSG00000069424,KCNAB2,16,17212,KCNAB2-69424
ENSG00000116254,CHD5,18,10094,CHD5-116254
ENSG00000285629,ENSG00000285629.1,1,663,ENSG00000285629.1-285629
ENSG00000116251,RPL22,11,4665,RPL22-116251
ENSG00000226944,RNF207-AS1,1,378,RNF207-AS1-226944
ENSG00000158286,RNF207,13,6595,RNF207-158286
ENSG00000116237,ICMT,16,4910,ICMT-116237
ENSG00000225077,ICMT-DT,3,2358,ICMT-DT-225077
ENSG00000173673,HES3,9,710,HES3-173673
ENSG00000158292,GPR153,7,4198,GPR153-158292
ENSG00000097021,ACOT7,21,3500,ACOT7-97021
ENSG00000271746,ENSG00000271746.1,1,837,ENSG00000271746.1-271746
ENSG00000069812,HES2,11,5407,HES2-69812
ENSG00000187017,ESPN,18,6940,ESPN-187017
