ENSEMBL_gene,HGNC_symbol,a,b,HGNC_symbol_unique
ENSMUSG00000102693,4933401J01Rik,2,1070,4933401J01Rik-102693
ENSMUSG00000064842,Gm26206,3,110,Gm26206-64842
ENSMUSG00000051951,Xkr4,6,6094,Xkr4-51951
ENSMUSG00000102851,Gm18956,2,480,Gm18956-102851
ENSMUSG00000103377,Gm37180,2,2819,Gm37180-103377
ENSMUSG00000104017,Gm37363,2,2233,Gm37363-104017
ENSMUSG00000103025,Gm37686,2,2309,Gm37686-103025
ENSMUSG00000089699,Gm1992,2,250,Gm1992-89699
ENSMUSG00000103201,Gm37329,2,2057,Gm37329-103201
ENSMUSG00000103147,Gm7341,2,926,Gm7341-103147
ENSMUSG00000103161,Gm38148,2,3012,Gm38148-103161
ENSMUSG00000102331,Gm19938,2,3259,Gm19938-102331
ENSMUSG00000102348,Gm10568,2,1634,Gm10568-102348
ENSMUSG00000102592,Gm38385,2,2351,Gm38385-102592
ENSMUSG00000088333,Gm27396,4,58,Gm27396-88333
ENSMUSG00000102343,Gm37381,2,1364,Gm37381-102343
ENSMUSG00000025900,Rp1,14,12311,Rp1-25900
ENSMUSG00000102948,Gm6101,2,1867,Gm6101-102948
ENSMUSG00000104123,Gm37483,2,1484,Gm37483-104123
ENSMUSG00000025902,Sox17,14,4772,Sox17-25902
ENSMUSG00000104238,Gm37587,2,2917,Gm37587-104238
ENSMUSG00000102269,Gm7357,2,2991,Gm7357-102269
ENSMUSG00000118917,Gm22307,1,107,Gm22307-118917
ENSMUSG00000103003,Gm38076,2,450,Gm38076-103003
ENSMUSG00000104328,Gm37323,2,2773,Gm37323-104328
ENSMUSG00000102735,Gm7369,2,936,Gm7369-102735
ENSMUSG00000098104,Gm6085,2,1470,Gm6085-98104
ENSMUSG00000102175,Gm6119,2,1206,Gm6119-102175
ENSMUSG00002075947,Gm56275,1,103,Gm56275-2075947
ENSMUSG00000103265,Gm2053,2,631,Gm2053-103265
ENSMUSG00000103922,Gm6123,2,1069,Gm6123-103922
ENSMUSG00000033845,Mrpl15,14,8487,Mrpl15-33845
ENSMUSG00000102275,Gm37144,2,1150,Gm37144-102275
ENSMUSG00000120403,A930006A01Rik,1,1370,A930006A01Rik-120403
ENSMUSG00000025903,Lypla1,15,7145,Lypla1-25903
ENSMUSG00000104217,Gm37988,2,825,Gm37988-104217
ENSMUSG00000033813,Tcea1,16,3017,Tcea1-33813
ENSMUSG00000062588,Gm6104,5,603,Gm6104-62588
ENSMUSG00000103280,Gm37277,2,1111,Gm37277-103280
ENSMUSG00000002459,Rgs20,18,4239,Rgs20-2459
ENSMUSG00000091305,Gm17100,2,272,Gm17100-91305
ENSMUSG00000102653,Gm37079,2,2135,Gm37079-102653
ENSMUSG00000085623,Gm16041,2,3725,Gm16041-85623
ENSMUSG00000091665,Gm17101,2,1588,Gm17101-91665
ENSMUSG00000033793,Atp6v1h,13,9746,Atp6v1h-33793
ENSMUSG00000104352,Gm7182,2,732,Gm7182-104352
ENSMUSG00000104046,Gm37567,2,2279,Gm37567-104046
ENSMUSG00000102907,Gm38264,2,2032,Gm38264-102907
ENSMUSG00000025905,Oprk1,15,9151,Oprk1-25905
ENSMUSG00000103936,Gm36965,2,394,Gm36965-103936
ENSMUSG00002076544,Gm56304,1,101,Gm56304-2076544
ENSMUSG00000103519,Gm37429,2,1799,Gm37429-103519
ENSMUSG00000033774,Npbwr1,5,3692,Npbwr1-33774
ENSMUSG00000103090,Gm19214,2,1083,Gm19214-103090
ENSMUSG00000090031,4732440D04Rik,4,6585,4732440D04Rik-90031
ENSMUSG00000025907,Rb1cc1,15,14690,Rb1cc1-25907
ENSMUSG00000087247,Alkal1,4,971,Alkal1-87247
ENSMUSG00000103355,Gm2147,2,639,Gm2147-103355
ENSMUSG00000102706,Gm7417,2,473,Gm7417-102706
ENSMUSG00000103845,Gm19026,2,4530,Gm19026-103845
ENSMUSG00000033740,St18,18,6464,St18-33740
ENSMUSG00000103329,Gm42492,3,2915,Gm42492-103329
ENSMUSG00000104385,Gm7449,2,663,Gm7449-104385
ENSMUSG00000102135,Gm37108,2,626,Gm37108-102135
ENSMUSG00000103282,Gm37275,2,30,Gm37275-103282
ENSMUSG00000102534,Gm37225,2,325,Gm37225-102534
ENSMUSG00000102213,Gm37489,2,159,Gm37489-102213
ENSMUSG00000103629,Gm5694,2,641,Gm5694-103629
ENSMUSG00000120372,Gm57122,1,602,Gm57122-120372
ENSMUSG00000051285,Pcmtd1,18,6654,Pcmtd1-51285
ENSMUSG00000098201,Gm26983,2,388,Gm26983-98201
ENSMUSG00000103509,Gm38372,2,4028,Gm38372-103509
ENSMUSG00000048538,Gm9826,8,1299,Gm9826-48538
ENSMUSG00000103709,Nras-ps2,2,178,Nras-ps2-103709
ENSMUSG00000077244,Gm23274,3,130,Gm23274-77244
ENSMUSG00000102768,Gm19002,2,1012,Gm19002-102768
ENSMUSG00000097797,Gm26901,7,4339,Gm26901-97797
ENSMUSG00000103498,Gm18984,2,1124,Gm18984-103498
ENSMUSG00000103067,Gm30414,2,2596,Gm30414-103067
ENSMUSG00000102320,Gm37791,2,286,Gm37791-102320
ENSMUSG00000104226,Gm7470,2,2095,Gm7470-104226
